name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name
SSSct,0.564814,9.165,8.218,7.095,5.937,6.381,5.845,8.452847,7.893511,7.173412,10.346,10.073996745630627,0.325,0.5241,-2.556,-3.178,-3.889,-4.272,-4.599,-4.626,-4.992,-4.87,40.6,5776.0,5709.5,0.843,4,-0.2802,6.0,280.93130508578,-7.73109359922,Gaia DR3 4251917636212432384
RTAur,0.571489,6.036,5.443,4.767,3.989,4.302,3.937,5.636953,5.336251,4.809206,7.999,8.635428916451941,0.059,0.0057,-2.213,-2.745,-3.348,-3.753,-4.044,-4.085,-4.281,-4.313,31.1,5930.0,5470.4,6.435,3,-1.0595,3.3,97.14203156464,30.49297626135,Gaia DR3 3435571660360952704
ADGem,0.578408,10.547,9.855,9.039,8.147,8.527,8.077,10.124643,9.70913,9.139031,12.409,11.946294357261664,0.173,0.1589,-2.594,-3.113,-3.71,-4.045,-4.363,-4.399,-4.635,-4.641,35.8,5999.0,5797.7,0.969,3,-0.1667,4.4,100.78129641785,20.93910595532,Gaia DR3 3378049163365268608
SUCyg,0.584952,7.455,6.886,6.196,5.387,5.703,5.324,7.175367,6.798264,6.286498,9.17,9.79732664404474,0.098,0.2263,-2.129,-2.601,-3.166,-3.559,-3.84,-3.884,-4.045,-4.108,27.9,6032.0,5994.7,3.443,4,-0.64,2.5,296.20305948513,29.2646787722,Gaia DR3 2031776202613700480
YAur,0.586529,10.512,9.614,8.571,7.284,7.743,7.167,10.035061,9.457623,8.714322,11.575,11.204778834597668,0.375,,-2.65,-3.172,-3.74,-4.186,-4.51,-4.552,-4.621,-4.804,39.2,5849.0,,1.122,3,,5.3,82.16349483157,42.43772581388,Gaia DR3 195373217573454464
STTau,0.605768,9.066,8.219,7.138,5.898,6.352,5.788,8.609181,8.051365,7.311717,10.137,10.141118674761305,0.368,0.6637,-2.628,-3.107,-3.722,-4.132,-4.454,-4.49,-4.676,-4.737,38.1,5853.0,6099.0,1.351,3,-0.3466,4.7,86.26316893008,13.57635184119,Gaia DR3 3346584610911570176
BFOph,0.609329,8.2,7.337,6.366,5.285,5.701,5.178,7.575954,7.069333,6.408388,9.11,9.56465716912419,0.235,0.4736,-1.904,-2.534,-3.206,-3.63,-3.962,-4.022,-4.251,-4.292,29.6,5705.0,5934.4,0.837,2,-0.5115,2.7,256.52291020043,-26.58056513078,Gaia DR3 4111834567779557376
SYCas,0.609712,10.85,9.873,8.752,7.448,7.909,7.343,10.227487,9.639541,8.883359,11.472,11.677891406797706,0.442,0.8255,-2.493,-3.025,-3.588,-3.98,-4.282,-4.299,-4.459,-4.518,34.4,6005.0,6404.5,1.039,3,-0.2768,3.7,3.79086871838,58.42428046193,Gaia DR3 422923956470923008
RZCMa,0.628882,10.698,9.698,8.469,7.177,7.629,7.027,9.896969,9.302669,8.542116,10.942,10.986010203765472,0.443,0.729,-2.118,-2.675,-3.343,-3.731,-4.024,-4.085,-4.379,-4.329,31.9,5815.0,6087.3,1.626,5,-0.3109,3.0,110.38689819352,-16.68721769549,Gaia DR3 3027940437469882880
YLac,0.635863,9.874,9.144,8.277,7.316,7.706,7.225,9.470252,9.062985,8.430668,11.936,11.63388347911998,0.217,0.0505,-2.98,-3.493,-4.085,-4.435,-4.747,-4.794,-5.004,-5.042,43.3,5981.0,5189.8,1.053,2,-0.8522,5.6,332.26206158309,51.04584489597,Gaia DR3 1977074811892425600
V0402Cyg,0.639968,10.897,9.867,8.669,7.41,7.895,7.299,10.121401,9.520483,8.773199,11.396,11.758495668618941,0.391,0.512,-2.153,-2.791,-3.495,-3.87,-4.214,-4.248,-4.586,-4.507,34.5,5760.0,5710.0,0.92,5,-0.2234,3.4,302.28231841529,37.15195204657,Gaia DR3 2060021625508894592
