,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
26,30,CVMon,0.730685,10.918,0.722,11.596,10.305,8.616,7.404,6.791,6.576
27,31,SWCas,0.735675,11.655,0.467,10.808,9.703,8.387,7.5,6.982,6.859
28,32,VCen,0.739882,9.041,0.294,7.705,6.834,5.796,5.073,4.628,4.509
29,33,RZGem,0.742669,11.655,0.563,11.055,10.006,8.662,7.703,7.164,7.01
30,34,YSgr,0.761428,8.143,0.188,6.595,5.743,4.797,4.131,3.702,3.612
31,35,FMCas,0.764123,11.055,0.325,10.119,9.128,7.978,7.223,6.746,6.638
32,36,CSVel,0.771201,12.515,0.737,13.049,11.709,10.068,8.84,8.234,8.018
33,37,MWCyg,0.774852,10.267,0.635,10.841,9.483,7.874,6.799,6.209,6.041
34,38,CRCep,0.794695,9.94,0.709,11.048,9.655,7.929,6.754,6.098,5.935
35,39,RSCas,0.799056,10.317,0.833,11.423,9.944,8.217,6.884,6.227,6.03
36,40,XVul,0.800689,9.437,0.742,10.28,8.835,7.137,6.021,5.426,5.255
37,41,RRLac,0.807281,10.772,0.319,9.753,8.842,7.816,7.058,6.619,6.527
38,42,XXSgr,0.807815,10.477,0.521,9.967,8.856,7.469,6.496,5.961,5.824
39,43,AWPer,0.810474,9.915,0.489,8.533,7.467,6.19,5.308,4.83,4.715
40,44,BBSgr,0.821971,9.61,0.281,7.924,6.94,5.822,5.099,4.639,4.51
41,45,VCar,0.82586,9.695,0.166,8.235,7.368,6.421,5.806,5.387,5.284
42,46,V0495Cyg,0.827263,12.365,0.978,12.246,10.618,8.694,7.233,6.542,6.314
43,47,USgr,0.828997,8.881,0.402,7.786,6.69,5.426,4.587,4.093,3.954
44,48,TWCMa,0.844792,11.266,0.329,10.534,9.564,8.419,7.66,7.175,7.069
45,49,xSgr,0.845893,7.529,0.237,5.311,4.561,3.655,3.016,2.618,2.521
46,50,UAql,0.846591,8.861,0.36,7.475,6.449,5.259,4.476,4.008,3.89
47,51,etaAql,0.85593,7.032,0.129,4.689,3.904,3.018,2.46,2.066,1.985
48,53,V0459Cyg,0.860413,11.52,0.73,12.035,10.601,8.837,7.715,7.073,6.903
49,55,CKSct,0.870124,10.438,0.757,12.165,10.575,8.778,7.498,6.82,6.652
50,57,V1344Aql,0.873787,10.969,0.546,9.131,7.766,6.311,5.279,4.729,4.59
51,58,RSOri,0.878917,11.137,0.352,9.376,8.414,7.253,6.489,6.018,5.917
52,59,WSgr,0.880529,6.963,0.108,5.423,4.672,3.863,3.311,2.941,2.847
53,60,GHCyg,0.893092,12.108,0.63,11.159,9.896,8.43,7.356,6.799,6.638
54,61,VYCyg,0.895256,11.147,0.606,10.822,9.582,8.079,7.102,6.548,6.396
55,62,RXCam,0.898288,9.506,0.532,8.888,7.669,6.223,5.266,4.724,4.599
56,63,WGem,0.898368,9.795,0.255,7.865,6.95,5.901,5.204,4.763,4.693
57,65,DLCas,0.903126,11.647,0.488,10.121,8.968,7.575,6.651,6.101,5.949
58,66,BKAur,0.903222,11.408,0.425,10.524,9.457,8.249,7.387,6.885,6.772
59,67,SSge,0.923352,9.342,0.099,6.424,5.617,4.775,4.227,3.846,3.765
60,68,FNAql,0.976878,10.327,0.486,9.593,8.389,6.947,6.05,5.495,5.356
61,69,YZSgr,0.980171,10.361,0.281,8.372,7.351,6.214,5.472,5.003,4.903
62,70,SMus,0.98498,9.67,0.14,6.963,6.136,5.188,4.553,4.127,4.017
63,71,SNor,0.989194,9.888,0.179,7.375,6.429,5.427,4.729,4.275,4.162
64,72,DDCas,0.991759,12.353,0.45,11.076,9.879,8.507,7.627,7.068,6.948
65,73,betaDor,0.993131,7.703,0.051,4.545,3.743,2.947,2.438,2.029,1.959
66,75,BZCyg,1.006127,11.89,0.885,11.837,10.221,8.324,6.886,6.155,5.924
67,77,ZetaGem,1.006497,7.932,0.014,4.708,3.849,3.117,2.612,2.201,2.131
68,78,YSct,1.014575,11.248,0.757,11.194,9.632,7.841,6.578,5.896,5.691
69,79,TWNor,1.032868,11.691,1.157,13.63,11.701,9.287,7.506,6.694,6.39
70,80,ZLac,1.036854,11.37,0.37,9.514,8.414,7.148,6.346,5.827,5.693
71,81,VXPer,1.036883,13.118,0.475,10.492,9.299,7.919,6.98,6.437,6.298
72,82,XXCen,1.039548,10.999,0.271,8.803,7.819,6.736,5.991,5.53,5.407
73,83,TYSct,1.043507,11.638,0.965,12.507,10.818,8.825,7.355,6.638,6.429
74,84,SVPer,1.046469,12.383,0.408,10.023,8.977,7.734,6.891,6.355,6.237
75,85,V0438Cyg,1.049647,11.407,1.238,12.847,10.943,8.639,6.921,6.081,5.789
76,87,AAGem,1.053181,12.612,0.309,10.809,9.729,8.581,7.734,7.2,7.106
77,88,RXAur,1.065337,10.796,0.263,8.631,7.669,6.59,5.819,5.355,5.269
78,89,UUMus,1.065819,12.033,0.404,10.936,9.794,8.486,7.528,6.989,6.828
79,90,RYCas,1.084181,12.069,0.618,11.321,9.95,8.403,7.175,6.551,6.373
80,91,UNor,1.101875,10.549,0.857,10.841,9.247,7.352,5.931,5.237,4.991
81,93,ZSct,1.110645,12.298,0.492,10.927,9.592,8.055,7.055,6.478,6.323
82,95,BNPup,1.135867,12.912,0.416,11.069,9.882,8.552,7.626,7.076,6.921
83,96,TTAql,1.138459,9.93,0.435,8.436,7.138,5.678,4.772,4.204,4.051
84,97,CYAur,1.141376,13.736,0.768,13.446,11.867,9.962,8.708,7.961,7.774
85,98,LSPup,1.150646,13.423,0.462,11.685,10.448,9.074,8.094,7.518,7.353
86,99,TXCyg,1.167607,10.438,1.13,11.363,9.489,7.228,5.462,4.637,4.372
87,100,UZSct,1.168739,12.735,1.02,13.124,11.247,9.184,7.534,6.746,6.534
88,101,RWCas,1.170032,12.707,0.38,10.462,9.233,7.871,6.934,6.367,6.237
89,103,SZCyg,1.179252,11.621,0.571,10.91,9.432,7.755,6.635,5.961,5.775
90,104,SVMon,1.182801,11.481,0.234,9.31,8.256,7.133,6.345,5.826,5.726
91,105,XCyg,1.214482,10.285,0.228,7.533,6.377,5.223,4.471,3.964,3.838
92,106,RWCam,1.215224,11.329,0.633,10.034,8.671,7.042,5.93,5.291,5.139
93,107,CDCyg,1.232334,11.945,0.493,10.217,8.948,7.448,6.463,5.89,5.72
94,108,SZAql,1.234029,11.65,0.534,10.033,8.634,7.018,5.955,5.347,5.16
95,110,CPCep,1.251989,12.78,0.649,12.223,10.577,8.773,7.457,6.726,6.537
96,113,VYCar,1.276818,11.344,0.242,8.642,7.463,6.28,5.463,4.945,4.806
97,115,VXCyg,1.303917,12.343,0.753,11.769,10.062,8.161,6.816,6.083,5.905
98,116,RYSco,1.307927,10.337,0.718,9.462,8.018,6.255,4.999,4.365,4.143
99,117,RZVel,1.309564,10.684,0.3,8.216,7.09,5.867,4.979,4.46,4.308
100,118,WZSgr,1.339443,11.279,0.435,9.424,8.03,6.497,5.404,4.765,4.568
101,119,BMPer,1.360896,12.275,0.871,12.21,10.401,8.214,6.8,6.012,5.773
102,120,WZCar,1.361977,12.742,0.372,10.427,9.266,7.963,7.009,6.456,6.29
103,122,SWVel,1.370016,12.036,0.344,9.281,8.128,6.844,5.931,5.39,5.231
104,123,XPup,1.414321,12.238,0.421,9.702,8.507,7.107,6.18,5.6,5.431
105,124,TMon,1.431915,10.585,0.179,7.307,6.128,4.98,4.183,3.652,3.525
106,125,RYVel,1.449158,11.847,0.545,9.744,8.371,6.834,5.7,5.123,4.928
107,126,KQSco,1.457818,12.237,0.869,11.747,9.81,7.658,6.025,5.218,4.947
108,127,AQPup,1.478624,12.57,0.518,10.081,8.705,7.14,6.102,5.483,5.299
109,128,KNCen,1.531857,12.983,0.791,11.468,9.856,7.996,6.517,5.756,5.49
110,129,lCar,1.550816,8.496,0.146,5.009,3.729,2.557,1.766,1.212,1.093
111,130,UCar,1.58897,10.743,0.263,7.469,6.292,5.057,4.193,3.67,3.522
112,131,RSPup,1.61742,11.288,0.457,8.442,7.01,5.489,4.44,3.827,3.647
