col1,ID,logP,IRSB,plx,cluster,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,Gmag,BPmag,RPmag,RA_ICRS,DE_ICRS,indexing,E(B-V)
58,AAGem,1.053181,12.456,12.300634761167014,6.448566656595599,0.309,10.809,9.729,8.581,7.734,7.2,7.106,Gaia DR3 3430067092837622272,9.393121,10.008104,8.64468,91.64560763763,26.32921983415,58,0.312
15,CFCas,0.687994,12.348,12.252554504981491,7.457351438795326,0.553,12.338,11.128,9.691,8.701,8.132,7.966,Gaia DR3 2011892703004353792,10.724333,11.468504,9.874154,359.57487036665,61.2210537331,15,0.556
25,CSVel,0.771201,12.675,12.547220228688158,7.754923334597617,0.737,13.049,11.709,10.068,8.84,8.234,8.018,Gaia DR3 5308893149150949248,11.1879,12.0446,10.216908,145.29271952315,-53.81603750378,25,0.716
20,CVMon,0.730685,11.066,10.978800580030445,6.163478392024859,0.722,11.596,10.305,8.616,7.404,6.791,6.576,Gaia DR3 3127142323596470144,9.701135,10.594475,8.769544,99.27018871085,3.06396219477,20,0.705
0,EVSct,0.490098,11.401,11.225259479873284,6.487847253575171,0.655,11.29,10.144,8.623,7.664,7.171,7.028,Gaia DR3 4156512638614879104,9.644203,10.414589,8.787999,279.16500634512,-8.18483389548,0,
45,GHLup,0.967448,10.381,10.22261827152559,5.283022096746453,0.347,8.844,7.637,6.364,5.492,4.96,4.813,Gaia DR3 5888819699572539264,7.213343,7.864696,6.424749,231.15974101293,-52.85387016499,45,0.328
3,QZNor,0.578244,10.811,11.425521266544438,6.447720523369465,0.263,9.756,8.869,7.865,7.136,6.733,6.619,Gaia DR3 5932565900081831040,8.623737,9.117518,7.946957,242.83526242559,-54.35413510061,3,0.289
43,RSOri,0.878917,11.328,11.001908401272402,6.074775224909299,0.352,9.376,8.414,7.253,6.489,6.018,5.917,Gaia DR3 3368698813404804352,8.193092,8.788838,7.443338,95.55497028344,14.67812664531,43,0.332
48,SNor,0.989194,9.712,9.728963126792776,4.846596741453781,0.179,7.375,6.429,5.427,4.729,4.275,4.162,Gaia DR3 5835124087174043136,6.175861,6.699772,5.503014,244.7159519047,-57.89980282729,48,0.182
6,STTau,0.605768,10.249,10.141118674761303,5.104535522953196,0.368,9.066,8.219,7.138,6.352,5.898,5.788,Gaia DR3 3346584610911570176,8.051365,8.609181,7.311717,86.26316893008,13.57635184119,6,0.328
93,SVVul,1.652569,11.418,11.8154976151152,6.859077462532165,0.462,8.7,7.213,5.67,4.668,4.09,3.93,Gaia DR3 2027951173435143680,6.809188,7.790675,5.891953,297.87876412857,27.46020619101,93,0.474
53,TWNor,1.032868,11.529,11.971016997017266,6.877558033773642,1.157,13.63,11.701,9.287,7.506,6.694,6.39,Gaia DR3 5981406000300438016,10.565082,12.008674,9.417015,241.23009532876,-51.95352728432,53,1.19
35,USgr,0.828997,9.058,8.923040732551554,4.042605277446068,0.402,7.786,6.69,5.426,4.587,4.093,3.954,Gaia DR3 4092905375639902464,6.42923,7.129108,5.63952,277.97220951561,-19.1250998575,35,0.408
23,VCen,0.739882,9.191,9.197433322695396,4.370155116845412,0.294,7.705,6.834,5.796,5.073,4.628,4.509,Gaia DR3 5891675303053080704,6.637,7.228839,5.935676,218.13779279681,-56.88774644776,23,0.265
16,VLac,0.697493,11.46,11.37247493244264,6.421236318813319,0.335,9.816,8.921,7.866,7.121,6.671,6.587,Gaia DR3 2003938801532007808,8.771336,9.305993,7.997581,342.15828864485,56.32153324908,16,0.293
22,XLac,0.735997,11.48,11.290870634889783,6.421236318813319,0.336,9.306,8.405,7.317,6.608,6.157,6.046,Gaia DR3 2004036486267748352,8.115799,8.662595,7.413769,342.26322668964,56.4281966365,22,
86,XPup,1.414321,12.192,11.818070902897958,7.198075348485391,0.421,9.702,8.507,7.107,6.18,5.6,5.431,Gaia DR3 5620098679741674496,8.347651,9.122233,7.425146,113.19596459365,-20.90968216106,86,0.396
52,YSct,1.014575,11.08,11.143930014246289,6.490434013002043,0.757,11.194,9.632,7.841,6.578,5.896,5.691,Gaia DR3 4156450099578283776,8.931744,9.911994,7.900858,279.51377343258,-8.36894716336,52,0.792
